Coin,Classification,mean_pnl,win_rate,n_trades
ENS,Fear,-1.7803399999999998,0.0,4
ETC,Greed,83.3618,1.0,2
ETH,Extreme Fear,0.02002821686746988,0.006024096385542169,166
ETH,Extreme Greed,-170.17848374388254,0.15171288743882544,613
ETH,Fear,137.00238786118598,0.367026055705301,2226
ETH,Greed,-111.42257313337942,0.19695922598479612,1447
ETH,Neutral,36.52811086885246,0.24262295081967214,305
ETHFI,Extreme Greed,83.0773325882353,0.5294117647058824,17
ETHFI,Fear,22.851355666666667,0.5833333333333334,12
ETHFI,Greed,215.1162510967742,0.5161290322580645,31
ETHFI,Neutral,0.0,0.0,8
FARTCOIN,Extreme Fear,-180.86636841935487,0.1935483870967742,31
FARTCOIN,Fear,7.509328741935484,0.22580645161290322,93
FARTCOIN,Greed,13.614888287822875,0.41697416974169743,271
FARTCOIN,Neutral,4.79187305882353,1.0,17
FET,Extreme Greed,8.52665,0.5,2
FET,Greed,20.94322857142857,0.8571428571428571,7
FIL,Neutral,-7.055718000000001,0.0,5
FTM,Greed,152.17302473913043,0.9130434782608695,23
FTM,Neutral,113.38923750000001,0.75,4
FTT,Extreme Fear,0.8178201666666668,0.3333333333333333,12
FTT,Extreme Greed,1.699782796460177,0.3230088495575221,226
FTT,Fear,4.869065567796611,0.3728813559322034,118
FTT,Greed,3.645416048780488,0.2926829268292683,41
FTT,Neutral,4.0331503,0.325,40
FXS,Extreme Greed,-4.6026682857142855,0.0,14
FXS,Greed,3.638358972972973,0.5135135135135135,37
FXS,Neutral,-23.556062153846156,0.0,13
GALA,Extreme Fear,0.0,0.0,6
GALA,Greed,0.0,0.0,1
GMT,Extreme Fear,0.0,0.0,1
GMT,Greed,60.54297,0.5,2
GMX,Extreme Greed,1.0851810175438596,0.45614035087719296,57
GMX,Greed,0.47660955555555556,0.4444444444444444,9
GOAT,Extreme Fear,102.50732,1.0,1
GOAT,Extreme Greed,113.45349755882353,0.6323529411764706,68
GOAT,Greed,0.0,0.0,4
GRASS,Extreme Fear,2.2363831000000003,0.25,20
GRASS,Extreme Greed,66.243695,1.0,2
GRASS,Fear,-16.066680717948717,0.3333333333333333,39
GRASS,Greed,0.0,0.0,21
GRASS,Neutral,20.055639045454544,0.9545454545454546,22
GRIFFAIN,Fear,14.29189306862745,0.7156862745098039,102
GRIFFAIN,Greed,100.24504,1.0,1
HBAR,Extreme Fear,0.0,0.0,2
HBAR,Extreme Greed,12.259251153846153,0.21153846153846154,52
HBAR,Fear,6.740319866666667,0.3333333333333333,30
HBAR,Greed,45.76746628571429,0.42857142857142855,14
HBAR,Neutral,8.989764882352942,0.7058823529411765,17
HPOS,Extreme Fear,0.0,0.0,2
HPOS,Extreme Greed,0.0,0.0,8
HPOS,Greed,0.9137781111111128,0.28888888888888886,45
HPOS,Neutral,24.468752764705883,0.35294117647058826,17
HYPE,Extreme Fear,1.0374943465648856,0.38549618320610685,1310
HYPE,Extreme Greed,3.117699398148148,0.21296296296296297,108
HYPE,Fear,59.81388927154862,0.32797118847539014,4165
HYPE,Greed,168.30583325104854,0.731575793888556,1669
HYPE,Neutral,6.04195308,0.54,50
ILV,Extreme Fear,0.0,0.0,1
ILV,Fear,-15.503822222222222,0.0,18
IMX,Extreme Fear,0.0,0.0,2
IMX,Extreme Greed,0.436037,0.6666666666666666,3
IMX,Fear,1.07950175,0.5625,16
IMX,Greed,43.010226,0.8,10
IMX,Neutral,9.138071000000002,1.0,3
INJ,Extreme Greed,1.6588588421052632,0.47368421052631576,19
INJ,Fear,1.485550181818182,0.7272727272727273,22
